Europe Temperature Anomalies
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
193810,0.96
193811,1.89
193812,-0.42
193901,1.52
193902,1.83
193903,-0.83
193904,0.46
193905,-0.63
193906,0.18
193907,0.28
193908,0.82
193909,-0.01
193910,-0.74
193911,0.48
193912,-0.89
194001,-3.75
194002,-2.37
194003,-1.77
194004,-0.48
194005,-0.28
194006,0.13
194007,-0.35
194008,-0.91
194009,-0.45
194010,-0.55
194011,0.87
194012,-1.87
194101,-2.45
194102,0.08
194103,-0.72
194104,-1.04
194105,-1.75
194106,-0.52
194107,0.50
194108,-0.62
194109,-1.12
194110,-1.24
194111,-1.69
194112,-1.64
194201,-4.49
194202,-2.58
194203,-2.24
194204,-0.57
194205,-0.26
194206,-0.20
194207,-0.41
194208,0.26
194209,0.76
194210,0.70
194211,-0.77
194212,0.33
194301,-1.09
194302,1.25
194303,0.59
194304,0.85
194305,-0.02
194306,0.04
194307,-0.09
194308,0.61
194309,0.60
194310,1.15
194311,0.36
194312,0.58
194401,1.24
194402,0.23
194403,-0.80
194404,-0.06
194405,-0.59
194406,-0.47
194407,0.06
194408,0.85
194409,0.13
194410,0.47
194411,0.14
194412,-0.11
194501,-1.70
194502,0.75
194503,0.16
194504,0.46
194505,0.55
194506,0.36
194507,0.71
194508,0.32
194509,0.26
194510,-0.40
194511,-0.24
194512,-0.60
194601,-0.34
194602,0.33
194603,-0.06
194604,0.99
194605,0.56
194606,0.47
194607,0.80
194608,0.72
194609,1.12
194610,-1.38
194611,-0.05
194612,-0.82
194701,-2.08
194702,-2.89
194703,-0.22
194704,0.92
194705,0.89
194706,1.31
194707,1.00
194708,0.73
194709,1.19
194710,-0.56
194711,0.40
194712,0.44
194801,1.72
194802,-0.05
194803,0.47
194804,0.93
194805,0.73
194806,0.01
194807,-0.67
194808,-0.12
194809,-0.02
194810,-0.07
194811,-0.19
194812,-0.32
194901,1.18
194902,0.79
194903,-1.00
194904,0.49
194905,0.54
194906,-0.48
194907,-0.03
194908,-0.31
194909,1.07
194910,0.70
194911,1.12
194912,1.27
195001,-2.13
195002,0.84
195003,0.76
195004,1.15
195005,0.73
195006,0.76
195007,0.45
195008,0.36
195009,0.44
195010,-0.20
195011,0.33
195012,0.17
195101,0.35
195102,0.58
195103,-0.32
195104,0.47
195105,-0.83
195106,-0.15
195107,-0.27
195108,0.66
195109,0.86
195110,-0.97
195111,0.85
195112,0.75
195201,0.78
195202,0.22
195203,-1.75
195204,1.17
195205,-0.53
195206,-0.08
195207,0.34
195208,0.63
195209,-0.70
195210,-0.28
195211,-0.83
195212,-0.24
195301,0.00
195302,-0.81
195303,-0.08
195304,0.51
195305,0.11
195306,0.72
195307,0.42
195308,0.11
195309,0.09
195310,0.87
195311,-0.47
195312,0.50
195401,-2.25
195402,-3.21
195403,0.52
195404,-1.31
195405,0.05
195406,0.76
195407,-0.51
195408,-0.08
195409,0.54
195410,0.19
195411,0.29
195412,1.79
195501,1.02
195502,0.14
195503,-1.24
195504,-0.95
195505,-0.75
195506,-0.55
195507,0.25
195508,0.33
195509,0.72
195510,0.43
195511,-0.37
195512,-0.09
195601,0.24
195602,-4.89
195603,-1.40
195604,-1.05
195605,-0.28
195606,-0.34
195607,-0.74
195608,-0.82
195609,-0.43
195610,-0.57
195611,-2.40
195612,-0.28
195701,0.21
195702,2.18
195703,0.55
195704,0.33
195705,-1.07
195706,0.22
195707,0.43
195708,-0.10
195709,-0.22
195710,0.23
195711,0.43
195712,-0.22
195801,0.02
195802,0.98
195803,-1.96
195804,-1.41
195805,0.85
195806,-0.83
195807,-0.43
195808,-0.03
195809,0.25
195810,0.47
195811,0.79
195812,0.55
195901,0.75
195902,0.43
195903,1.59
195904,0.53
195905,0.03
195906,0.12
195907,1.14
195908,0.31
195909,-0.82
195910,-0.64
195911,-0.13
195912,0.47
196001,-0.12
196002,-0.40
196003,0.07
196004,-0.04
196005,0.50
196006,0.72
196007,-0.30
196008,-0.30
196009,-0.62
196010,0.09
196011,1.15
196012,1.79
196101,0.16
196102,2.27
196103,1.74
196104,1.38
196105,-0.19
196106,1.01
196107,-0.40
196108,-0.22
196109,0.64
196110,1.32
196111,0.71
196112,-0.40
196201,1.28
196202,0.14
196203,-1.76
196204,0.63
196205,-0.61
196206,-0.76
196207,-0.96
196208,0.05
196209,-0.10
196210,0.68
196211,0.83
196212,-1.54
196301,-2.98
196302,-2.29
196303,-2.14
196304,-0.09
196305,0.57
196306,0.07
196307,0.47
196308,0.39
196309,0.62
196310,0.31
196311,1.54
196312,-1.49
196401,-0.91
196402,-0.65
196403,-1.38
196404,0.10
196405,0.19
196406,1.06
196407,0.02
196408,-0.80
196409,-0.10
196410,0.15
196411,0.31
196412,0.30
196501,0.60
196502,-1.70
196503,-0.56
196504,-0.86
196505,-1.07
196506,0.21
196507,-1.06
196508,-1.03
196509,0.06
196510,-0.33
196511,-1.55
196512,0.30
196601,-0.78
196602,1.04
196603,-0.07
196604,0.46
196605,0.21
196606,0.52
196607,-0.17
196608,-0.26
196609,-0.29
196610,1.38
196611,0.30
196612,0.34
196701,-1.21
196702,0.28
196703,1.31
196704,-0.12
196705,0.17
196706,-0.55
196707,0.28
196708,0.30
196709,0.66
196710,1.43
196711,0.90
196712,-1.10
196801,-1.67
196802,0.20
196803,0.46
196804,1.17
196805,0.10
196806,0.65
196807,-0.57
196808,-0.65
196809,-0.06
196810,0.00
196811,0.35
196812,-0.43
196901,-0.86
196902,-1.65
196903,-1.54
196904,-0.57
196905,0.40
196906,-0.13
196907,-0.30
196908,0.22
196909,-0.10
196910,0.45
196911,0.57
196912,-1.90
197001,-0.26
197002,-1.17
197003,-0.46
197004,-0.34
197005,-0.47
197006,0.76
197007,-0.09
197008,-0.19
197009,-0.09
197010,-0.46
197011,0.77
197012,0.02
197101,0.93
197102,0.52
197103,-1.44
197104,-0.08
197105,0.63
197106,-0.60
197107,-0.05
197108,0.39
197109,-0.60
197110,-0.24
197111,-0.67
197112,1.03
197201,-1.53
197202,0.55
197203,0.69
197204,0.49
197205,-0.26
197206,0.28
197207,0.69
197208,-0.10
197209,-1.16
197210,-0.86
197211,0.15
197212,1.00
197301,0.68
197302,1.29
197303,0.48
197304,-0.52
197305,0.26
197306,0.28
197307,0.31
197308,-0.01
197309,-0.07
197310,-0.74
197311,-1.44
197312,-1.00
197401,1.07
197402,2.21
197403,1.49
197404,-0.45
197405,-0.76
197406,-0.39
197407,-0.74
197408,0.09
197409,0.12
197410,-0.77
197411,0.28
197412,1.67
197501,2.40
197502,1.01
197503,1.19
197504,0.44
197505,0.52
197506,-0.16
197507,0.28
197508,0.47
197509,1.11
197510,-0.15
197511,-0.52
197512,-0.05
197601,-0.38
197602,-0.75
197603,-1.29
197604,-0.18
197605,-0.06
197606,-0.07
197607,0.00
197608,-0.87
197609,-1.06
197610,-0.56
197611,0.26
197612,-0.32
197701,-0.08
197702,1.62
197703,1.42
197704,-0.53
197705,-0.22
197706,-0.47
197707,-0.84
197708,-0.80
197709,-1.10
197710,-0.00
197711,0.99
197712,-0.13
197801,0.29
197802,-0.50
197803,0.94
197804,-0.83
197805,-0.80
197806,-0.68
197807,-1.10
197808,-1.06
197809,-0.89
197810,0.06
197811,0.02
197812,-1.35
197901,-1.36
197902,-0.36
197903,0.76
197904,-0.81
197905,0.32
197906,1.00
197907,-1.16
197908,-0.36
197909,0.09
197910,-0.56
197911,-0.01
197912,1.13
198001,-1.43
198002,0.24
198003,-0.95
198004,-0.64
198005,-1.32
198006,-0.01
198007,-0.72
198008,-0.26
198009,-0.05
198010,-0.15
198011,-0.85
198012,-0.31
198101,0.00
198102,0.21
198103,0.87
198104,-0.44
198105,-0.12
198106,0.30
198107,-0.37
198108,-0.34
198109,0.32
198110,0.67
198111,-0.29
198112,-0.75
198201,-0.55
198202,-0.16
198203,0.56
198204,-0.37
198205,0.12
198206,-0.09
198207,0.09
198208,0.10
198209,1.06
198210,0.23
198211,0.65
198212,1.37
198301,2.24
198302,-0.48
198303,0.80
198304,0.98
198305,0.66
198306,-0.09
198307,0.88
198308,-0.11
198309,0.52
198310,0.11
198311,-0.51
198312,0.21
198401,1.21
198402,0.38
198403,-0.60
198404,0.11
198405,-0.02
198406,-0.78
198407,-0.76
198408,-0.61
198409,-0.08
198410,0.90
198411,0.45
198412,0.19
198501,-2.74
198502,-3.56
198503,-0.76
198504,-0.10
198505,0.33
198506,-0.57
198507,-0.22
198508,0.27
198509,-0.13
198510,0.27
198511,-1.07
198512,0.22
198601,0.22
198602,-2.58
198603,0.15
198604,-0.02
198605,0.68
198606,0.50
198607,-0.10
198608,0.03
198609,-0.74
198610,0.27
198611,0.47
198612,-0.65
198701,-3.52
198702,-0.03
198703,-2.96
198704,-0.26
198705,-1.01
198706,-0.49
198707,0.06
198708,-0.99
198709,0.57
198710,0.27
198711,0.04
198712,0.34
198801,2.03
198802,1.03
198803,-0.20
198804,-0.13
198805,0.70
198806,0.26
198807,0.90
198808,0.31
198809,0.20
198810,-0.03
198811,-2.14
198812,0.04
198901,1.85
198902,2.63
198903,2.73
198904,1.28
198905,0.86
198906,0.34
198907,0.52
198908,0.55
198909,0.44
198910,0.57
198911,-0.21
198912,0.65
199001,1.20
199002,3.91
199003,2.69
199004,0.62
199005,0.82
199006,0.16
199007,0.09
199008,0.60
199009,-0.56
199010,0.81
199011,0.64
199012,0.59
199101,1.18
199102,-0.88
199103,1.36
199104,0.05
199105,-1.51
199106,-0.48
199107,0.72
199108,0.87
199109,0.67
199110,0.14
199111,0.43
199112,-0.30
199201,0.95
199202,1.22
199203,1.06
199204,-0.17
199205,0.64
199206,0.65
199207,0.16
199208,1.39
199209,-0.00
199210,-1.23
199211,0.03
199212,0.27
199301,1.43
199302,0.23
199303,0.11
199304,0.52
199305,1.16
199306,-0.16
199307,-0.60
199308,-0.39
199309,-1.07
199310,-0.30
199311,-2.38
199312,0.96
199401,1.96
199402,-0.61
199403,1.36
199404,0.94
199405,0.06
199406,-0.07
199407,1.74
199408,1.06
199409,1.07
199410,0.05
199411,0.76
199412,0.93
199501,1.12
199502,3.22
199503,0.98
199504,0.39
199505,0.09
199506,0.61
199507,0.93
199508,0.78
199509,-0.27
199510,1.24
199511,-1.02
199512,-1.08
199601,0.10
199602,-0.95
199603,-1.23
199604,0.14
199605,0.38
199606,0.38
199607,-0.41
199608,0.66
199609,-1.41
199610,0.32
199611,1.18
199612,-0.62
199701,0.09
199702,1.73
199703,1.07
199704,-1.04
199705,0.43
199706,0.71
199707,0.21
199708,1.32
199709,0.07
199710,-0.39
199711,0.38
199712,0.72
199801,2.02
199802,2.06
199803,0.37
199804,0.88
199805,0.60
199806,0.91
199807,0.30
199808,0.40
199809,0.30
199810,0.36
199811,-1.33
199812,-0.43
199901,1.43
199902,0.65
199903,1.41
199904,1.38
199905,0.42
199906,1.34
199907,1.44
199908,0.72
199909,1.78
199910,0.82
199911,-0.06
199912,0.77
200001,0.44
200002,2.05
200003,0.95
200004,1.96
200005,1.44
200006,0.91
200007,-0.00
200008,0.88
200009,0.20
200010,1.39
200011,1.92
200012,1.93
200101,2.22
200102,1.15
200103,1.42
200104,0.65
200105,0.68
200106,0.19
200107,1.42
200108,1.38
200109,0.07
200110,1.93
200111,-0.25
200112,-1.69
200201,0.80
200202,3.40
200203,2.09
200204,0.90
200205,1.38
200206,1.44
200207,1.34
200208,1.27
200209,0.35
200210,-0.14
200211,0.74
200212,-1.40
200301,0.08
200302,-0.91
200303,0.62
200304,0.06
200305,1.83
200306,1.90
200307,1.64
200308,2.16
200309,0.57
200310,-0.49
200311,1.29
200312,0.95
200401,0.22
200402,1.10
200403,1.09
200404,0.89
200405,-0.20
200406,0.37
200407,0.36
200408,1.14
200409,0.71
200410,1.24
200411,0.31
200412,1.18
200501,2.09
200502,-0.47
200503,-0.55
200504,1.02
200505,0.70
200506,0.68
200507,1.20
200508,0.43
200509,1.12
200510,1.13
200511,0.55
200512,0.45
200601,-0.69
200602,-0.50
200603,-0.80
200604,1.02
200605,0.85
200606,1.32
200607,2.25
200608,0.88
200609,1.79
200610,1.93
200611,1.54
200612,2.46
200701,3.16
200702,1.29
200703,2.57
200704,1.61
200705,1.72
200706,1.74
200707,0.82
200708,1.16
200709,0.05
200710,0.81
200711,-0.20
200712,1.01
200801,1.97
200802,2.58
200803,1.65
200804,1.29
200805,0.86
200806,1.25
200807,0.78
200808,0.99
200809,-0.04
200810,1.03
200811,0.96
200812,1.16
200901,0.61
200902,0.85
200903,0.80
200904,1.64
200905,1.20
200906,0.80
200907,1.08
200908,1.18
200909,1.24
200910,0.47
200911,1.85
200912,0.52
201001,-1.00
201002,0.19
201003,0.63
201004,1.20
201005,0.66
201006,1.00
201007,2.34
201008,1.58
201009,0.45
201010,-0.31
201011,1.18
201012,-1.42
201101,0.94
201102,-0.35
201103,0.92
201104,2.09
201105,1.22
201106,1.41
201107,0.84
201108,1.09
201109,1.80
201110,0.73
201111,0.61
201112,2.25
201201,1.17
201202,-2.00
201203,1.65
201204,1.05
201205,1.48
201206,1.24
201207,1.36
201208,1.53
201209,1.24
201210,1.11
201211,1.83
201212,-0.41
201301,0.90
201302,1.27
201303,-0.99
201304,0.80
201305,1.41
201306,1.19
201307,1.28
201308,1.44
201309,0.45
201310,1.24
201311,1.62
201312,1.31
201401,1.63
201402,3.08
201403,3.05
201404,2.09
201405,0.94
201406,0.78
201407,1.69
201408,0.95
201409,1.38
201410,1.55
201411,1.73
201412,1.66
201501,2.12
201502,1.78
201503,2.07
201504,0.97
201505,0.95
201506,0.92
201507,1.55
201508,2.28
201509,1.60
201510,0.56
201511,2.22
201512,2.80
201601,0.52
201602,3.60
201603,1.81
201604,1.70
201605,1.23
201606,1.62
201607,1.44
201608,1.23
201609,1.91
201610,0.32
201611,0.24
201612,0.85
201701,-0.14
201702,1.73
201703,2.76
201704,0.59
201705,0.92
201706,1.78
201707,1.03
201708,1.61
201709,0.89
201710,1.21
201711,0.94
201712,1.80
